articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
6-7-2014,<1,0.664,F,NA,MATCH,TRUE
6-7-2014,24.1,23.35,F,3.1120331950207465,MINOR_ERROR,NA
6-7-2014,<0.001,6.01e-13,p,NA,MATCH,TRUE
6-7-2014,0.27,0.27,pes,0,MATCH,NA
6-7-2014,<0.001,7.23e-5,p,NA,MATCH,TRUE
6-7-2014,0.28,0.28,pes,0,MATCH,NA
6-7-2014,<0.001,0.00113,p,NA,MATCH,TRUE
6-7-2014,0.2,0.2,pes,0,MATCH,NA
6-7-2014,>0.05,0.0528,p,NA,MATCH,TRUE
6-7-2014,0.08,0.08,pes,0,MATCH,NA
6-7-2014,<0.001,3.05e-4,p,NA,MATCH,TRUE
6-7-2014,0.24,0.24,pes,0,MATCH,NA
